№	Дата/время	Температура	Осадки (мм)
1	2026-06-02T00:00	10.5	0.0
2	2026-06-02T01:00	10.8	0.0
3	2026-06-02T02:00	10.8	0.0
4	2026-06-02T03:00	10.8	0.0
5	2026-06-02T04:00	10.9	0.0
6	2026-06-02T05:00	11.4	0.0
7	2026-06-02T06:00	12.2	0.0
8	2026-06-02T07:00	12.8	0.0
9	2026-06-02T08:00	13.5	0.0
10	2026-06-02T09:00	13.6	0.0
11	2026-06-02T10:00	14.2	0.0
12	2026-06-02T11:00	15.3	0.0
13	2026-06-02T12:00	15.8	0.0
14	2026-06-02T13:00	16.6	0.0
15	2026-06-02T14:00	16.2	0.0
16	2026-06-02T15:00	16.9	0.0
17	2026-06-02T16:00	16.7	0.0
18	2026-06-02T17:00	16.4	0.0
19	2026-06-02T18:00	15.7	0.0
20	2026-06-02T19:00	14.6	0.0
21	2026-06-02T20:00	12.7	0.0
22	2026-06-02T21:00	11.0	0.0
23	2026-06-02T22:00	9.6	0.0
24	2026-06-02T23:00	8.6	0.0
